start;end;pitch;pitchclass;instrument
0.2200;0.8854;63;3;"piano"
0.2200;0.8854;48;0;"piano"
0.2200;0.8854;55;7;"piano"
0.8854;2.3309;63;3;"piano"
0.8854;2.3309;48;0;"piano"
0.8854;2.3309;55;7;"piano"
2.3309;2.9764;63;3;"piano"
2.3309;2.9764;48;0;"piano"
2.3309;2.9764;55;7;"piano"
2.9764;4.0934;75;3;"piano"
2.9764;3.6241;63;3;"piano"
2.9764;3.6241;48;0;"piano"
2.9764;3.6241;55;7;"piano"
4.6818;5.2364;74;2;"piano"
4.6818;5.2273;63;3;"piano"
4.6818;5.2273;48;0;"piano"
4.6818;5.2273;55;7;"piano"
5.2273;5.8018;72;0;"piano"
5.2273;5.7927;63;3;"piano"
5.2273;5.7927;48;0;"piano"
5.2273;5.7927;55;7;"piano"
5.7927;6.3086;67;7;"piano"
5.7927;6.3086;63;3;"piano"
5.7927;6.3382;48;0;"piano"
5.7927;6.3473;55;7;"piano"
6.3382;6.7518;63;3;"piano"
6.3382;6.9527;56;8;"piano"
6.3382;6.9527;59;11;"piano"
6.3382;6.8664;48;0;"piano"
6.3382;6.8664;53;5;"piano"
6.7473;6.9436;62;2;"piano"
6.9436;7.9789;55;7;"piano"
6.9436;7.9959;60;0;"piano"
6.9436;7.4891;48;0;"piano"
6.9436;7.4891;51;3;"piano"
7.4891;8.0345;48;0;"piano"
7.4891;8.0345;51;3;"piano"
8.0345;8.5505;55;7;"piano"
8.0345;8.5800;48;0;"piano"
8.0345;8.5800;51;3;"piano"
8.5800;9.2625;56;8;"piano"
8.5800;9.2625;59;11;"piano"
8.5800;9.2625;62;2;"piano"
8.5800;9.2455;48;0;"piano"
8.5800;9.2455;53;5;"piano"
9.2455;10.2260;55;7;"piano"
9.2455;10.2430;60;0;"piano"
9.2455;9.7909;48;0;"piano"
9.2455;9.7909;51;3;"piano"
9.7909;10.3360;48;0;"piano"
9.7909;10.3360;51;3;"piano"
10.3360;10.8920;55;7;"piano"
10.3360;10.9220;48;0;"piano"
10.3360;10.9220;51;3;"piano"
10.9220;11.5070;60;0;"piano"
10.9220;11.5160;68;8;"piano"
10.9220;11.5160;72;0;"piano"
10.9220;11.5070;41;5;"piano"
10.9220;11.5070;48;0;"piano"
10.9220;11.5070;53;5;"piano"
11.5070;12.5020;55;7;"piano"
11.5070;12.5020;60;0;"piano"
11.5070;12.5020;63;3;"piano"
11.5070;12.5020;67;7;"piano"
11.5070;12.0530;43;7;"piano"
11.5070;12.0530;48;0;"piano"
11.5070;12.0530;51;3;"piano"
12.0530;12.5580;43;7;"piano"
12.0530;12.5580;48;0;"piano"
12.0530;12.5580;51;3;"piano"
12.5580;12.8350;65;5;"piano"
12.5580;13.4290;60;0;"piano"
12.5580;13.1040;44;8;"piano"
12.5580;13.1040;48;0;"piano"
12.5580;13.1040;53;5;"piano"
12.8310;13.1080;63;3;"piano"
13.1040;13.1810;62;2;"piano"
13.1040;13.7290;44;8;"piano"
13.1040;13.7290;48;0;"piano"
13.1040;13.7290;53;5;"piano"
13.1810;13.2570;63;3;"piano"
13.2570;13.4430;62;2;"piano"
13.4290;13.6730;60;0;"piano"
13.7290;14.2750;55;7;"piano"
13.7290;14.2750;60;0;"piano"
13.7290;14.2750;43;7;"piano"
13.7290;14.2750;51;3;"piano"
