start;end;pitch;pitchclass;instrument
0.5600;0.6697;54;6;"piano"
0.5600;3.4600;38;2;"piano"
0.5600;3.8999;45;9;"piano"
0.6697;0.8815;62;2;"piano"
0.8815;1.0733;54;6;"piano"
1.0733;1.1831;52;4;"piano"
1.1831;1.3349;61;1;"piano"
1.3349;1.4667;52;4;"piano"
1.4667;1.6364;54;6;"piano"
1.6364;1.7482;62;2;"piano"
1.7482;1.9800;54;6;"piano"
1.9800;2.0897;57;9;"piano"
2.0897;2.2815;66;6;"piano"
2.2815;2.3933;57;9;"piano"
2.3933;2.5031;55;7;"piano"
2.5031;2.6349;64;4;"piano"
2.6349;2.8067;55;7;"piano"
2.8067;2.9764;54;6;"piano"
2.9764;3.1082;62;2;"piano"
3.1082;3.4524;54;6;"piano"
3.4600;4.6000;52;4;"piano"
3.4600;4.6000;57;9;"piano"
3.4600;3.8999;33;9;"piano"
4.6000;4.7694;71;11;"piano"
4.7667;6.0511;69;9;"piano"
7.0400;7.1497;66;6;"piano"
7.0400;9.4400;50;2;"piano"
7.0400;9.8333;57;9;"piano"
7.1497;7.2615;74;2;"piano"
7.2615;7.3733;66;6;"piano"
7.3733;7.5231;64;4;"piano"
7.5231;7.6749;73;1;"piano"
7.6749;7.7867;64;4;"piano"
7.7867;7.8964;66;6;"piano"
7.8964;8.0282;74;2;"piano"
8.0282;8.1400;66;6;"piano"
8.1400;8.3297;69;9;"piano"
8.3297;8.4615;78;6;"piano"
8.4615;8.5733;69;9;"piano"
8.5733;8.7031;67;7;"piano"
8.7031;8.8549;76;4;"piano"
8.8549;8.9867;67;7;"piano"
8.9867;9.0964;66;6;"piano"
9.0964;9.2882;74;2;"piano"
9.2882;9.4324;66;6;"piano"
9.4400;9.5497;64;4;"piano"
9.4400;9.8333;45;9;"piano"
9.5497;9.7015;73;1;"piano"
9.7015;9.8333;64;4;"piano"
9.8333;9.9430;62;2;"piano"
9.9430;10.1350;71;11;"piano"
10.0000;10.2490;47;11;"piano"
10.1350;10.2470;62;2;"piano"
10.2470;10.3560;61;1;"piano"
10.2470;11.4330;45;9;"piano"
10.3560;10.4680;69;9;"piano"
10.4680;10.6200;61;1;"piano"
10.6200;10.7300;59;11;"piano"
10.7300;10.8820;67;7;"piano"
10.8820;11.0730;59;11;"piano"
11.0730;11.1830;57;9;"piano"
11.1830;11.3550;66;6;"piano"
11.3550;11.4670;57;9;"piano"
11.4670;11.5760;55;7;"piano"
11.4670;11.9420;46;10;"piano"
11.5760;11.7880;64;4;"piano"
11.7880;11.9920;55;7;"piano"
12.0000;12.1900;54;6;"piano"
12.0000;12.4190;47;11;"piano"
12.1900;12.3020;62;2;"piano"
12.3020;12.4130;54;6;"piano"
12.4130;12.5430;55;7;"piano"
12.4130;12.8720;46;10;"piano"
12.5430;12.7550;64;4;"piano"
12.7550;12.8670;55;7;"piano"
12.8670;12.9960;54;6;"piano"
12.8670;13.2660;47;11;"piano"
12.9960;13.1280;62;2;"piano"
13.1280;13.2600;54;6;"piano"
13.2600;13.3700;55;7;"piano"
13.2600;13.6790;46;10;"piano"
13.3700;13.5220;64;4;"piano"
13.5220;13.6730;55;7;"piano"
13.6730;13.8030;54;6;"piano"
13.6730;14.1120;47;11;"piano"
13.8030;13.9150;62;2;"piano"
13.9150;14.1070;54;6;"piano"
14.1070;14.2360;60;0;"piano"
14.1070;14.4940;45;9;"piano"
14.2360;14.3880;63;3;"piano"
14.3880;14.5120;60;0;"piano"
14.5200;14.6500;59;11;"piano"
14.5200;14.8990;43;7;"piano"
14.6500;14.7620;64;4;"piano"
14.7620;14.8930;59;11;"piano"
14.8930;15.0430;63;3;"piano"
14.8930;15.0430;66;6;"piano"
14.8930;15.3520;42;6;"piano"
15.0430;15.2350;59;11;"piano"
15.2350;15.3390;63;3;"piano"
15.2350;15.3390;66;6;"piano"
15.3470;15.8400;64;4;"piano"
15.3470;15.8400;67;7;"piano"
15.3470;15.8460;40;4;"piano"
15.8400;16.2990;59;11;"piano"
15.8400;16.2930;64;4;"piano"
15.8400;16.2930;67;7;"piano"
15.8400;16.2990;38;2;"piano"
16.2930;16.7920;61;1;"piano"
16.2930;16.7870;64;4;"piano"
16.2930;16.7870;67;7;"piano"
16.2930;16.7920;37;1;"piano"
16.7870;17.3640;62;2;"piano"
16.7870;17.3640;64;4;"piano"
16.7870;17.3640;67;7;"piano"
16.7870;17.3640;35;11;"piano"
17.5600;18.9080;64;4;"piano"
17.5600;18.9080;67;7;"piano"
17.5600;22.0200;33;9;"piano"
18.9000;19.0430;62;2;"piano"
18.9000;19.0430;66;6;"piano"
19.0430;19.1220;57;9;"piano"
19.0430;19.1220;64;4;"piano"
19.1270;22.0200;57;9;"piano"
19.1270;22.0200;64;4;"piano"
22.0200;23.1080;64;4;"piano"
22.0200;23.1080;67;7;"piano"
22.0200;24.5270;33;9;"piano"
23.1000;23.2830;62;2;"piano"
23.1000;23.2830;66;6;"piano"
23.2830;23.3620;57;9;"piano"
23.2830;23.3620;64;4;"piano"
23.3670;24.5270;57;9;"piano"
23.3670;24.5270;64;4;"piano"
24.5270;26.6400;57;9;"voice"
24.5270;26.6400;57;9;"piano"
24.5270;26.6400;66;6;"piano"
24.5270;26.6400;69;9;"piano"
24.5270;26.6400;38;2;"piano"
24.5270;26.6400;50;2;"piano"
26.6400;28.0200;57;9;"voice"
26.6400;28.0200;57;9;"piano"
26.6400;28.0200;66;6;"piano"
26.6400;28.0200;69;9;"piano"
26.6400;28.0200;38;2;"piano"
26.6400;28.0200;50;2;"piano"
28.0200;28.4530;54;6;"voice"
28.0200;28.4530;57;9;"piano"
28.0200;28.4530;62;2;"piano"
