start;end;pitch;pitchclass;instrument
0.9200;1.7000;47;11;"piano"
0.9200;1.7000;54;6;"piano"
1.7000;2.1992;47;11;"piano"
1.7000;2.1992;54;6;"piano"
2.3800;3.4600;62;2;"piano"
2.3800;3.4600;71;11;"piano"
3.4600;3.9329;62;2;"piano"
3.4600;3.9329;71;11;"piano"
3.9600;4.9800;47;11;"piano"
3.9600;4.9800;54;6;"piano"
4.9800;5.4763;47;11;"piano"
4.9800;5.4763;54;6;"piano"
5.6400;6.6000;62;2;"piano"
5.6400;6.6000;66;6;"piano"
6.6000;7.0817;62;2;"piano"
6.6000;7.0817;66;6;"piano"
7.1600;8.1600;47;11;"piano"
7.1600;8.1600;55;7;"piano"
8.1600;8.6563;47;11;"piano"
8.1600;8.6563;55;7;"piano"
8.8200;9.8483;61;1;"piano"
8.8200;9.8483;64;4;"piano"
9.8400;10.2380;59;11;"piano"
9.8400;10.2380;62;2;"piano"
10.2300;10.6140;58;10;"piano"
10.2300;10.6140;61;1;"piano"
10.6800;11.5800;59;11;"piano"
10.6800;11.5800;62;2;"piano"
10.6800;11.5800;47;11;"piano"
10.6800;11.5800;54;6;"piano"
11.5800;12.0790;47;11;"piano"
11.5800;12.0790;54;6;"piano"
12.2600;13.1280;66;6;"piano"
12.2600;13.1280;74;2;"piano"
13.1200;13.5140;64;4;"piano"
13.1200;13.5140;73;1;"piano"
13.5100;13.8740;62;2;"piano"
13.5100;13.8740;71;11;"piano"
13.9400;14.9000;64;4;"piano"
13.9400;14.9000;73;1;"piano"
13.9400;14.9000;47;11;"piano"
13.9400;14.9000;55;7;"piano"
14.9000;15.3960;47;11;"piano"
14.9000;15.3960;55;7;"piano"
15.5800;16.5480;61;1;"piano"
15.5800;16.5480;64;4;"piano"
16.5400;16.8980;59;11;"piano"
16.5400;16.8980;62;2;"piano"
16.8900;17.3080;58;10;"piano"
16.8900;17.3080;61;1;"piano"
17.3800;18.2600;59;11;"piano"
17.3800;18.2600;62;2;"piano"
17.3800;18.2600;47;11;"piano"
17.3800;18.2600;54;6;"piano"
18.2600;18.7710;47;11;"piano"
18.2600;18.7710;54;6;"piano"
19.0200;19.8200;62;2;"piano"
19.0200;19.8200;71;11;"piano"
19.8200;20.6000;54;6;"voice"
19.8200;20.5560;62;2;"piano"
19.8200;20.5560;71;11;"piano"
20.6000;21.6700;54;6;"voice"
20.6000;21.1600;47;11;"piano"
20.6000;21.1600;54;6;"piano"
21.1600;22.0130;47;11;"piano"
21.1600;22.0130;54;6;"piano"
21.6700;22.0400;55;7;"voice"
22.0400;22.3540;54;6;"voice"
22.0400;22.8200;62;2;"piano"
22.0400;22.8200;71;11;"piano"
22.3500;22.7430;55;7;"voice"
22.8200;23.1940;54;6;"voice"
