start;end;pitch;pitchclass;instrument
0.7400;1.0600;62;2;"piano"
0.7400;1.0600;74;2;"piano"
1.0600;1.5400;62;2;"piano"
1.0600;1.5400;74;2;"piano"
1.0600;1.2400;43;7;"piano"
1.2400;1.5400;47;11;"piano"
1.2400;1.5400;50;2;"piano"
1.5400;1.7600;62;2;"piano"
1.5400;1.7600;74;2;"piano"
1.5400;1.7600;50;2;"piano"
1.5400;1.7600;55;7;"piano"
1.7600;2.3600;62;2;"piano"
1.7600;2.3600;74;2;"piano"
1.7600;2.3600;55;7;"piano"
1.7600;2.3600;59;11;"piano"
2.3600;2.6437;62;2;"piano"
2.3600;2.6437;74;2;"piano"
2.6600;3.1200;62;2;"piano"
2.6600;3.1200;74;2;"piano"
2.6600;2.8800;43;7;"piano"
2.8800;3.1200;47;11;"piano"
2.8800;3.1200;50;2;"piano"
3.1200;3.4200;62;2;"piano"
3.1200;3.4200;74;2;"piano"
3.1200;3.4200;50;2;"piano"
3.1200;3.4200;55;7;"piano"
3.4200;4.0200;62;2;"piano"
3.4200;4.0200;74;2;"piano"
3.4200;4.0200;55;7;"piano"
3.4200;4.0200;59;11;"piano"
4.0200;4.2438;62;2;"piano"
4.0200;4.2438;74;2;"piano"
4.2600;4.7800;63;3;"piano"
4.2600;4.7800;75;3;"piano"
4.2600;4.5000;42;6;"piano"
4.5000;4.7800;47;11;"piano"
4.5000;4.7800;51;3;"piano"
4.7800;5.0800;63;3;"piano"
4.7800;5.0800;75;3;"piano"
4.7800;5.0800;51;3;"piano"
4.7800;5.0800;57;9;"piano"
5.0800;5.6400;63;3;"piano"
5.0800;5.6400;75;3;"piano"
5.0800;5.6400;57;9;"piano"
5.0800;5.6400;59;11;"piano"
5.6400;5.9238;63;3;"piano"
5.6400;5.9238;75;3;"piano"
5.9400;6.4400;64;4;"piano"
5.9400;6.4400;76;4;"piano"
5.9400;6.1800;40;4;"piano"
6.1800;6.4400;47;11;"piano"
6.1800;6.4400;52;4;"piano"
6.4400;6.7400;64;4;"piano"
6.4400;6.7400;76;4;"piano"
6.4400;6.7400;52;4;"piano"
6.4400;6.7400;55;7;"piano"
6.7400;7.1169;66;6;"piano"
6.7400;7.1169;78;6;"piano"
6.7400;7.0320;38;2;"piano"
7.0320;7.2600;50;2;"piano"
7.0320;7.2600;57;9;"piano"
7.1100;7.2625;67;7;"piano"
7.1100;7.2625;79;7;"piano"
7.2600;7.5438;69;9;"piano"
7.2600;7.5438;81;9;"piano"
7.2600;7.5600;54;6;"piano"
7.2600;7.5600;60;0;"piano"
7.5600;8.0600;67;7;"piano"
7.5600;8.0600;79;7;"piano"
7.5600;7.7800;43;7;"piano"
7.7800;8.0600;47;11;"piano"
7.7800;8.0600;50;2;"piano"
8.0600;8.3600;62;2;"piano"
8.0600;8.3600;74;2;"piano"
8.0600;8.3600;50;2;"piano"
8.0600;8.3600;55;7;"piano"
