start;end;pitch;pitchclass;instrument
2.5400;4.2798;55;7;"piano"
2.5400;4.2600;58;10;"piano"
2.5400;4.2798;67;7;"piano"
2.5400;4.2600;39;3;"piano"
2.5400;4.2600;46;10;"piano"
4.2600;5.1883;53;5;"piano"
4.2600;5.1800;58;10;"piano"
4.2600;5.1883;65;5;"piano"
4.2600;5.1800;39;3;"piano"
4.2600;5.1883;44;8;"piano"
4.2600;5.1800;46;10;"piano"
5.1800;5.7454;51;3;"piano"
5.1800;5.7454;58;10;"piano"
5.1800;5.7454;63;3;"piano"
5.1800;5.7454;39;3;"piano"
5.1800;5.7454;43;7;"piano"
5.1800;5.7454;46;10;"piano"
6.0800;7.8096;55;7;"piano"
6.0800;7.7800;58;10;"piano"
6.0800;7.8096;67;7;"piano"
6.0800;7.7800;39;3;"piano"
6.0800;7.7800;46;10;"piano"
7.7800;8.6683;53;5;"piano"
7.7800;8.6600;58;10;"piano"
7.7800;8.6683;65;5;"piano"
7.7800;8.6600;39;3;"piano"
7.7800;8.6683;44;8;"piano"
7.7800;8.6600;46;10;"piano"
8.6600;9.3308;51;3;"piano"
8.6600;9.3308;58;10;"piano"
8.6600;9.3308;63;3;"piano"
8.6600;9.3308;39;3;"piano"
8.6600;9.3308;43;7;"piano"
8.6600;9.3308;46;10;"piano"
9.5800;11.5200;50;2;"piano"
9.5800;11.5000;58;10;"piano"
9.5800;11.5200;62;2;"piano"
9.5800;11.5000;34;10;"piano"
9.5800;11.5200;41;5;"piano"
9.5800;11.5000;46;10;"piano"
11.5000;12.3280;51;3;"piano"
11.5000;12.3200;58;10;"piano"
11.5000;12.3200;63;3;"piano"
11.5000;12.3200;34;10;"piano"
11.5000;12.3280;43;7;"piano"
11.5000;12.3200;46;10;"piano"
12.3200;12.9920;55;7;"piano"
12.3200;12.9920;58;10;"piano"
12.3200;12.9920;63;3;"piano"
12.3200;12.9920;67;7;"piano"
12.3200;12.9920;34;10;"piano"
12.3200;12.9920;39;3;"piano"
12.3200;12.9920;46;10;"piano"
13.4800;15.4200;55;7;"piano"
13.4800;15.4000;58;10;"piano"
13.4800;15.4200;63;3;"piano"
13.4800;15.4200;67;7;"piano"
13.4800;17.4600;34;10;"piano"
13.4800;17.4600;46;10;"piano"
15.4000;17.4330;53;5;"piano"
15.4000;17.4330;58;10;"piano"
15.4000;17.4330;62;2;"piano"
15.4000;17.4330;65;5;"piano"
17.9800;19.6400;55;7;"piano"
17.9800;19.6200;58;10;"piano"
17.9800;19.6400;67;7;"piano"
17.9800;19.6200;39;3;"piano"
17.9800;19.6200;46;10;"piano"
19.6200;20.5480;53;5;"piano"
19.6200;20.5400;58;10;"piano"
19.6200;20.5480;65;5;"piano"
19.6200;20.5400;39;3;"piano"
19.6200;20.5480;44;8;"piano"
19.6200;20.5400;46;10;"piano"
20.5400;21.1740;51;3;"piano"
20.5400;21.1740;58;10;"piano"
20.5400;21.1740;63;3;"piano"
20.5400;21.1740;39;3;"piano"
20.5400;21.1740;43;7;"piano"
20.5400;21.1740;46;10;"piano"
21.4400;23.0400;58;10;"piano"
21.4400;23.0200;61;1;"piano"
21.4400;23.0400;67;7;"piano"
21.4400;23.0200;39;3;"piano"
21.4400;23.0200;46;10;"piano"
21.4400;23.0200;49;1;"piano"
21.4400;23.0200;51;3;"piano"
23.0200;23.8880;56;8;"piano"
23.0200;23.8800;61;1;"piano"
23.0200;23.8880;65;5;"piano"
23.0200;23.8800;39;3;"piano"
23.0200;23.8800;46;10;"piano"
23.0200;23.8800;49;1;"piano"
23.0200;23.8800;51;3;"piano"
23.8800;24.5050;55;7;"piano"
23.8800;24.5050;61;1;"piano"
23.8800;24.5050;63;3;"piano"
23.8800;24.5050;39;3;"piano"
23.8800;24.5050;46;10;"piano"
23.8800;24.5050;49;1;"piano"
23.8800;24.5050;51;3;"piano"
24.7200;25.5480;56;8;"piano"
24.7200;25.5480;61;1;"piano"
24.7200;25.5400;63;3;"piano"
24.7200;25.5480;49;1;"piano"
24.7200;26.3500;51;3;"piano"
24.7200;27.5990;44;8;"piano"
25.5400;26.3280;60;0;"piano"
25.5400;26.3280;63;3;"piano"
25.5400;26.3280;68;8;"piano"
25.5400;26.3280;48;0;"piano"
26.3200;27.1480;58;10;"piano"
26.3200;27.1480;61;1;"piano"
26.3200;27.1480;64;4;"piano"
26.3200;27.1480;67;7;"piano"
26.3200;27.1480;49;1;"piano"
26.3200;27.1480;52;4;"piano"
27.1400;27.7340;56;8;"piano"
27.1400;27.7340;60;0;"piano"
27.1400;27.7340;65;5;"piano"
27.1400;27.7340;48;0;"piano"
27.1400;27.7340;53;5;"piano"
28.1200;30.0000;58;10;"piano"
28.1200;30.0000;63;3;"piano"
28.1200;29.9800;46;10;"piano"
28.1200;29.9800;55;7;"piano"
