start;end;pitch;pitchclass;instrument
0.5000;2.2088;43;7;"piano"
0.5000;0.5563;49;1;"piano"
0.5613;1.7000;50;2;"piano"
3.8119;3.8400;49;1;"piano"
3.8400;5.5488;43;7;"piano"
3.8400;5.5488;50;2;"piano"
7.1800;7.3925;67;7;"piano"
7.1800;9.9200;43;7;"piano"
7.1800;9.9200;50;2;"piano"
7.3900;7.6150;70;10;"piano"
7.6100;7.7925;69;9;"piano"
7.7900;8.0225;72;0;"piano"
8.0200;8.6050;70;10;"piano"
8.6000;8.9050;67;7;"piano"
8.9000;9.5400;69;9;"piano"
9.5100;9.9038;66;6;"piano"
9.9200;10.4450;67;7;"piano"
9.9200;13.1800;43;7;"piano"
9.9200;13.1800;50;2;"piano"
10.4200;10.8410;70;10;"piano"
11.0800;13.1800;62;2;"piano"
11.0800;13.1800;66;6;"piano"
11.0800;13.1800;69;9;"piano"
13.1800;13.6750;67;7;"piano"
13.1800;16.7600;43;7;"piano"
13.1800;16.7600;50;2;"piano"
13.6600;14.0410;70;10;"piano"
14.3400;16.7600;62;2;"piano"
14.3400;16.7600;66;6;"piano"
14.3400;16.7600;69;9;"piano"
16.7600;16.9130;67;7;"piano"
16.7600;19.4000;43;7;"piano"
16.7600;19.4000;50;2;"piano"
16.9100;17.1220;74;2;"piano"
17.1200;17.3130;72;0;"piano"
17.3100;17.5430;75;3;"piano"
17.5400;17.9650;74;2;"piano"
17.9600;18.4250;67;7;"piano"
18.4200;18.8750;69;9;"piano"
18.8600;19.3710;70;10;"piano"
19.4000;20.0100;60;0;"piano"
19.4000;20.0100;66;6;"piano"
19.4000;20.5720;57;9;"piano"
19.4000;21.6690;43;7;"piano"
19.4000;21.6690;50;2;"piano"
19.9700;20.1810;69;9;"piano"
20.5600;22.6600;58;10;"piano"
20.5600;22.6600;62;2;"piano"
20.5600;22.5990;55;7;"piano"
22.6600;23.2500;60;0;"piano"
22.6600;23.2500;66;6;"piano"
22.6600;23.8120;57;9;"piano"
22.6600;24.9090;43;7;"piano"
22.6600;24.9090;50;2;"piano"
23.2100;23.4210;69;9;"piano"
23.8000;26.2600;58;10;"piano"
23.8000;26.2600;62;2;"piano"
23.8000;26.0990;55;7;"piano"
26.2600;26.7600;55;7;"voice"
26.2600;29.3800;43;7;"piano"
26.2600;29.3800;50;2;"piano"
26.7600;27.2400;50;2;"voice"
27.2400;27.6400;55;7;"voice"
27.6400;28.1400;57;9;"voice"
28.1400;28.7400;58;10;"voice"
28.7400;29.3800;55;7;"voice"
29.3800;29.9200;50;2;"voice"
29.3800;32.6600;43;7;"piano"
29.3800;32.6600;50;2;"piano"
29.9200;30.2400;55;7;"voice"
30.2400;30.8800;54;6;"voice"
30.8800;31.5600;57;9;"voice"
31.5600;32.6600;50;2;"voice"
32.6600;32.8130;67;7;"piano"
32.6600;35.2600;43;7;"piano"
32.6600;35.2600;50;2;"piano"
32.8100;33.0150;70;10;"piano"
33.0100;33.1930;69;9;"piano"
33.1900;33.4030;72;0;"piano"
33.4000;33.8250;70;10;"piano"
33.8200;34.2650;67;7;"piano"
34.2600;34.9050;69;9;"piano"
34.8600;35.2440;66;6;"piano"
35.2600;35.7650;67;7;"piano"
35.2600;38.5800;43;7;"piano"
35.2600;38.5800;50;2;"piano"
35.7400;36.1610;70;10;"piano"
36.4000;39.6400;62;2;"piano"
36.4000;38.5800;66;6;"piano"
36.4000;38.5800;69;9;"piano"
38.5800;39.0200;55;7;"voice"
38.5800;39.6400;67;7;"piano"
38.5800;41.7200;43;7;"piano"
38.5800;41.7200;50;2;"piano"
39.0200;39.6400;50;2;"voice"
39.6400;39.9400;55;7;"voice"
39.9400;40.4400;57;9;"voice"
40.4400;41.0000;58;10;"voice"
41.0000;41.7200;55;7;"voice"
41.7200;42.0400;50;2;"voice"
41.7200;44.8600;43;7;"piano"
41.7200;44.8600;50;2;"piano"
42.0400;42.5200;55;7;"voice"
42.5200;43.0200;54;6;"voice"
43.0200;44.1800;57;9;"voice"
44.1800;44.8600;50;2;"voice"
44.8600;45.0130;67;7;"piano"
44.8600;47.5400;43;7;"piano"
44.8600;47.5400;50;2;"piano"
45.0100;45.2800;70;10;"piano"
45.2700;45.4530;69;9;"piano"
45.4500;45.6820;72;0;"piano"
45.6800;46.1450;70;10;"piano"
46.1400;46.5650;67;7;"piano"
46.5600;47.1850;69;9;"piano"
47.1400;47.5240;66;6;"piano"
47.5400;48.0650;67;7;"piano"
47.5400;51.1600;43;7;"piano"
47.5400;51.1600;50;2;"piano"
48.0400;48.4810;70;10;"piano"
48.7000;52.1000;62;2;"piano"
48.7000;51.1600;66;6;"piano"
48.7000;51.1600;69;9;"piano"
51.1600;51.7500;55;7;"voice"
51.1600;52.1000;67;7;"piano"
51.1600;53.1640;55;7;"piano"
51.1600;54.1900;43;7;"piano"
51.1600;54.1900;50;2;"piano"
51.7500;52.1000;62;2;"voice"
52.1000;52.6200;60;0;"voice"
52.6200;53.1400;58;10;"voice"
53.1400;53.7000;57;9;"voice"
53.1400;54.2690;54;6;"piano"
53.7000;54.3000;50;2;"voice"
54.3000;55.1900;55;7;"voice"
54.3000;55.3720;55;7;"piano"
54.3000;56.4690;43;7;"piano"
54.3000;56.4690;50;2;"piano"
55.1900;55.3600;58;10;"voice"
55.3600;55.6600;57;9;"voice"
55.3600;57.0860;54;6;"piano"
55.6600;55.9600;50;2;"voice"
55.9600;57.7200;57;9;"voice"
57.7200;57.8730;67;7;"piano"
57.7200;60.5400;55;7;"piano"
57.7200;60.5400;43;7;"piano"
57.7200;60.5400;50;2;"piano"
57.8700;58.1420;74;2;"piano"
58.1400;58.3330;72;0;"piano"
58.3300;58.5830;75;3;"piano"
58.5800;59.0450;74;2;"piano"
59.0400;59.4850;67;7;"piano"
59.4800;59.9750;69;9;"piano"
59.9600;60.5240;70;10;"piano"
60.5400;61.1800;60;0;"piano"
60.5400;61.1800;66;6;"piano"
60.5400;61.7520;57;9;"piano"
60.5400;62.8890;43;7;"piano"
60.5400;62.8890;50;2;"piano"
61.1300;61.3610;69;9;"piano"
61.7400;63.8800;58;10;"piano"
61.7400;63.8800;62;2;"piano"
61.7400;63.7790;55;7;"piano"
63.8800;64.4700;55;7;"voice"
63.8800;66.0400;55;7;"piano"
63.8800;66.8960;43;7;"piano"
63.8800;66.8960;50;2;"piano"
64.4700;64.9800;62;2;"voice"
64.9800;65.5000;60;0;"voice"
65.5000;65.9200;58;10;"voice"
65.9200;66.5000;57;9;"voice"
65.9200;66.9690;54;6;"piano"
66.5000;67.0000;50;2;"voice"
67.0000;67.8900;55;7;"voice"
67.0000;68.0520;55;7;"piano"
67.0000;69.3090;43;7;"piano"
67.0000;69.3090;50;2;"piano"
67.8900;68.0400;58;10;"voice"
68.0400;68.5000;57;9;"voice"
68.0400;69.7240;54;6;"piano"
68.5000;68.8000;50;2;"voice"
68.8000;70.4600;57;9;"voice"
70.4600;70.6120;67;7;"piano"
70.4600;71.7960;55;7;"piano"
70.4600;72.8690;43;7;"piano"
70.4600;72.8690;50;2;"piano"
70.6100;70.8820;74;2;"piano"
70.8800;71.0930;72;0;"piano"
71.0900;71.3230;75;3;"piano"
71.3200;71.7850;74;2;"piano"
71.7800;72.2250;67;7;"piano"
71.7800;72.2250;58;10;"piano"
72.2200;72.6650;69;9;"piano"
72.2200;72.6650;57;9;"piano"
72.6600;73.1360;70;10;"piano"
72.6600;73.1360;55;7;"piano"
73.2400;73.8100;60;0;"piano"
73.2400;73.8100;66;6;"piano"
