start;end;shorthand;extended;majmin;majmin_inv
0.4;2.46;"A:min";"A:(b3,5)";"A:min";"A:min"
2.46;5.32;"D:min";"D:(b3,5)";"D:min";"D:min"
5.32;8.1;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
8.1;9.88;"A:min";"A:(b3,5)";"A:min";"A:min"
9.88;13.72;"A:min";"A:(b3,5)";"A:min";"A:min"
13.72;14.84;"D:min";"D:(b3,5)";"D:min";"D:min"
14.84;16.76;"A:min";"A:(b3,5)";"A:min";"A:min"
16.76;19.64;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
19.64;21.54;"A:min";"A:(b3,5)";"A:min";"A:min"
21.54;24.78;"C:maj/E";"C:(3,#5)/E";"C:maj";"C:maj/E"
24.78;27.82;"F:maj";"F:(3,5)";"F:maj";"F:maj"
27.82;30.72;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
30.72;32.68;"C:maj";"C:(3,5)";"C:maj";"C:maj"
32.68;34.56;"A:min/E";"A:(b3,5)/E";"A:min";"A:min/E"
34.56;36;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
36;37.62;"A:min";"A:(b3,5)";"A:min";"A:min"
37.62;39.52;"A:min/E";"A:(b3,5)/E";"A:min";"A:min/E"
39.52;40.52;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
40.52;45.64;"A:min";"A:(b3,5)";"A:min";"A:min"
45.64;46.78;"D:min";"D:(b3,5)";"D:min";"D:min"
46.78;48.9;"A:min";"A:(b3,5)";"A:min";"A:min"
48.9;51.94;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
51.94;54.76;"A:min";"A:(b3,5)";"A:min";"A:min"
54.76;57.84;"C:maj/E";"C:(3,#5)/E";"C:maj";"C:maj/E"
57.84;60;"F:maj";"F:(3,5)";"F:maj";"F:maj"
60;62.94;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
62.94;65.12;"C:maj";"C:(3,5)";"C:maj";"C:maj"
65.12;67;"A:min/E";"A:(b3,5)/E";"A:min";"A:min/E"
67;68.26;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
68.26;69.8;"A:min";"A:(b3,5)";"A:min";"A:min"
69.8;72.36;"A:min/E";"A:(b3,5)/E";"A:min";"A:min/E"
72.36;73.34;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
73.34;76.04;"A:min";"A:(b3,5)";"A:min";"A:min"
76.04;78.88;"A:(3,5,b9)";"A:(3,5,b9)";"A:maj";"A:maj"
78.88;81.54;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
81.54;85.16;"E:(3,5,b9)/B";"E:(3,5,b9)/B";"E:maj";"E:maj/B"
85.16;88.44;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
88.44;90.42;"A#:maj/F";"A#:(3,5)/F";"A#:maj";"A#:maj/F"
90.42;91.76;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
91.76;94.66;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
94.66;96.92;"A:min/E";"A:(b3,5)/E";"A:min";"A:min/E"
96.92;98.36;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
98.36;100.2;"A:min";"A:(b3,5)";"A:min";"A:min"
101.34;101.34;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
101.34;103.42;"A#:maj/F";"A#:(3,5)/F";"A#:maj";"A#:maj/F"
103.42;104.84;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
104.84;108.44;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
108.44;111.02;"A:min/E";"A:(b3,5)/E";"A:min";"A:min/E"
111.02;115.82;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
115.82;118.36;"A:min";"A:(b3,5)";"A:min";"A:min"
118.36;119.46;"D:min";"D:(b3,5)";"D:min";"D:min"
119.46;120.82;"A:min";"A:(b3,5)";"A:min";"A:min"
120.82;124.16;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
124.16;127.46;"A:min";"A:(b3,5)";"A:min";"A:min"
