start;end;pitch;pitchclass;instrument
0.2200;1.0000;57;9;"piano"
0.2200;1.0000;61;1;"piano"
0.2200;1.0000;64;4;"piano"
0.2200;1.0000;45;9;"piano"
1.0000;1.7200;57;9;"piano"
1.0000;1.7200;62;2;"piano"
1.0000;1.7200;65;5;"piano"
1.0000;1.7200;50;2;"piano"
1.7200;2.8600;69;9;"piano"
2.8600;3.5200;57;9;"piano"
2.8600;3.5200;61;1;"piano"
2.8600;3.5200;64;4;"piano"
2.8600;3.5200;45;9;"piano"
3.5200;4.1600;57;9;"piano"
3.5200;4.1600;62;2;"piano"
3.5200;4.1600;65;5;"piano"
3.5200;4.1600;50;2;"piano"
4.1600;5.3600;57;9;"piano"
5.3600;5.9800;57;9;"piano"
5.3600;5.9800;61;1;"piano"
5.3600;5.9800;64;4;"piano"
5.3600;5.9800;45;9;"piano"
5.9800;6.5550;57;9;"piano"
5.9800;6.5550;62;2;"piano"
5.9800;6.5550;65;5;"piano"
5.9800;6.5550;50;2;"piano"
6.5550;7.8200;69;9;"piano"
7.2400;7.8200;53;5;"piano"
7.8200;8.5600;62;2;"piano"
7.8200;8.5600;65;5;"piano"
7.8200;9.2000;58;10;"piano"
8.5600;9.2000;62;2;"piano"
8.5600;9.2198;65;5;"piano"
8.5600;9.2000;70;10;"piano"
9.2000;9.8200;62;2;"piano"
9.2000;9.8398;66;6;"piano"
9.2000;9.8200;70;10;"piano"
9.2000;9.8398;57;9;"piano"
9.8200;10.4400;62;2;"piano"
9.8200;10.4200;67;7;"piano"
9.8200;10.4200;70;10;"piano"
9.8200;10.4400;55;7;"piano"
10.4200;11.1090;61;1;"piano"
10.4200;11.1090;67;7;"piano"
10.4200;11.1090;70;10;"piano"
10.4200;11.1090;53;5;"piano"
11.1600;11.8400;60;0;"piano"
11.1600;11.8400;67;7;"piano"
11.1600;11.8400;70;10;"piano"
11.1600;11.8400;52;4;"piano"
11.8400;12.1400;60;0;"piano"
11.8400;12.1400;65;5;"piano"
11.8400;12.1400;69;9;"piano"
11.8400;13.0000;48;0;"piano"
12.1400;12.5000;60;0;"piano"
12.1400;12.5000;64;4;"piano"
12.1400;12.5000;67;7;"piano"
12.5000;13.0000;60;0;"piano"
12.5000;13.0000;65;5;"piano"
12.5000;13.0000;69;9;"piano"
13.0000;13.2800;58;10;"piano"
13.0000;13.2800;60;0;"piano"
13.0000;13.2800;67;7;"piano"
13.0000;13.6800;53;5;"piano"
13.2800;13.6800;57;9;"piano"
13.2800;13.6800;60;0;"piano"
13.2800;13.6800;65;5;"piano"
13.6800;14.2800;58;10;"piano"
13.6800;14.2800;46;10;"piano"
14.2800;14.5200;57;9;"piano"
14.2800;14.5200;45;9;"piano"
14.5200;14.8950;55;7;"piano"
14.5200;14.8950;43;7;"piano"
14.8950;15.5600;55;7;"piano"
14.8950;15.5600;43;7;"piano"
15.5600;16.1600;56;8;"piano"
15.5600;16.1600;44;8;"piano"
16.1600;18.5200;57;9;"piano"
16.1600;18.5200;45;9;"piano"
16.1600;18.5200;49;1;"piano"
16.1600;18.5200;52;4;"piano"
16.1600;18.5200;33;9;"piano"
18.5200;18.9400;57;9;"voice"
18.5200;18.9400;57;9;"piano"
18.5200;18.9400;61;1;"piano"
18.5200;18.9400;64;4;"piano"
18.5200;18.9400;45;9;"piano"
18.9400;19.5800;57;9;"voice"
18.9400;19.5800;57;9;"piano"
18.9400;19.5800;62;2;"piano"
18.9400;19.5800;65;5;"piano"
18.9400;19.5800;50;2;"piano"
19.5800;19.9880;55;7;"voice"
19.5800;21.0800;69;9;"piano"
19.9800;20.4130;53;5;"voice"
20.4350;21.0800;53;5;"voice"
21.0800;21.7400;52;4;"voice"
21.0800;21.7400;57;9;"piano"
21.0800;21.7400;61;1;"piano"
21.0800;21.7400;64;4;"piano"
21.0800;21.7400;45;9;"piano"
21.7400;23.3600;53;5;"voice"
21.7400;22.3600;57;9;"piano"
21.7400;22.3600;62;2;"piano"
21.7400;22.3600;65;5;"piano"
21.7400;22.3600;50;2;"piano"
22.3600;23.7200;57;9;"piano"
23.3600;23.7200;50;2;"voice"
23.7200;24.2280;52;4;"voice"
23.7200;24.4200;57;9;"piano"
23.7200;24.4200;61;1;"piano"
23.7200;24.4200;64;4;"piano"
23.7200;24.4200;45;9;"piano"
24.2200;24.3930;58;10;"voice"
24.4200;25.0600;57;9;"voice"
24.4200;25.0600;57;9;"piano"
24.4200;25.0600;62;2;"piano"
24.4200;25.0600;65;5;"piano"
24.4200;25.0600;50;2;"piano"
25.0600;25.4280;55;7;"voice"
25.0600;26.5000;69;9;"piano"
25.4200;25.8930;53;5;"voice"
25.9200;26.5000;53;5;"voice"
26.5000;27.1450;52;4;"voice"
26.5000;27.1450;57;9;"piano"
26.5000;27.1450;61;1;"piano"
26.5000;27.1450;64;4;"piano"
26.5000;27.1450;45;9;"piano"
27.1450;28.4200;53;5;"voice"
27.1450;27.8000;57;9;"piano"
27.1450;27.8000;62;2;"piano"
27.1450;27.8000;65;5;"piano"
27.1450;27.8000;50;2;"piano"
27.8000;29.0200;57;9;"piano"
28.4200;29.0200;65;5;"piano"
29.0200;29.7400;70;10;"piano"
29.0200;29.7400;50;2;"piano"
29.7400;30.3800;58;10;"voice"
29.7400;30.3290;62;2;"piano"
29.7400;30.3290;65;5;"piano"
29.7400;30.3290;70;10;"piano"
29.7400;30.3800;58;10;"piano"
30.3800;30.6320;58;10;"voice"
30.3800;30.9200;62;2;"piano"
30.3800;30.9200;66;6;"piano"
30.3800;30.9200;70;10;"piano"
30.3800;30.9200;57;9;"piano"
30.6320;30.9200;58;10;"voice"
30.9200;31.6000;58;10;"voice"
30.9200;31.6000;62;2;"piano"
30.9200;31.6000;67;7;"piano"
30.9200;31.6000;70;10;"piano"
30.9200;31.6000;55;7;"piano"
31.6000;32.1910;58;10;"voice"
31.6000;32.1910;61;1;"piano"
31.6000;32.1910;67;7;"piano"
31.6000;32.1910;70;10;"piano"
31.6000;32.1910;53;5;"piano"
32.1910;32.7400;58;10;"voice"
32.1910;32.7200;60;0;"piano"
