start;end;pitch;pitchclass;instrument
0.6000;1.8283;69;9;"piano"
0.6000;1.8283;57;9;"piano"
1.8200;2.7690;64;4;"piano"
1.8200;2.7690;52;4;"piano"
4.0600;5.2083;62;2;"piano"
4.0600;5.2083;50;2;"piano"
5.2000;6.1890;57;9;"piano"
5.2000;6.1890;45;9;"piano"
7.4200;7.6046;64;4;"piano"
7.4200;8.0850;56;8;"piano"
7.4200;8.3000;40;4;"piano"
7.4200;8.3000;47;11;"piano"
7.6046;7.8323;64;4;"piano"
7.8323;8.2725;64;4;"piano"
8.3000;8.4646;64;4;"piano"
8.3000;8.8538;57;9;"piano"
8.3000;9.1200;40;4;"piano"
8.3000;9.1200;48;0;"piano"
8.4646;8.6369;64;4;"piano"
8.6369;9.0881;64;4;"piano"
9.1200;9.2846;64;4;"piano"
9.1200;10.0500;59;11;"piano"
9.1200;10.1800;40;4;"piano"
9.1200;10.1800;50;2;"piano"
9.2846;9.7746;66;6;"piano"
9.7746;10.1600;68;8;"piano"
10.1800;11.1350;57;9;"piano"
10.1800;11.1350;69;9;"piano"
10.1800;11.1350;45;9;"piano"
10.1800;11.1350;48;0;"piano"
11.1350;11.3600;64;4;"piano"
11.1350;11.3600;52;4;"piano"
11.3600;12.3090;69;9;"piano"
11.3600;12.3090;57;9;"piano"
13.5200;14.2400;57;9;"voice"
13.5200;14.6080;69;9;"piano"
13.5200;14.6080;57;9;"piano"
14.2400;14.6000;57;9;"voice"
14.6000;16.0100;52;4;"voice"
14.6000;16.4660;64;4;"piano"
14.6000;16.4660;52;4;"piano"
16.0100;16.5800;52;4;"voice"
16.5800;16.9750;50;2;"voice"
16.5800;19.9870;57;9;"piano"
16.5800;17.7880;62;2;"piano"
16.5800;17.7880;65;5;"piano"
16.5800;17.7880;50;2;"piano"
16.9750;17.7800;53;5;"voice"
17.7800;18.7100;45;9;"voice"
17.7800;18.9090;60;0;"piano"
17.7800;18.9090;64;4;"piano"
17.7800;18.9090;45;9;"piano"
18.7100;19.9600;45;9;"voice"
19.9600;20.5350;52;4;"voice"
19.9600;20.1250;76;4;"piano"
19.9600;20.6850;68;8;"piano"
19.9600;20.7800;52;4;"piano"
19.9600;20.7800;59;11;"piano"
20.1250;20.4920;76;4;"piano"
20.4920;20.7630;76;4;"piano"
20.5350;20.7800;52;4;"voice"
20.7800;21.3150;52;4;"voice"
20.7800;20.9650;76;4;"piano"
20.7800;21.4130;69;9;"piano"
20.7800;21.4400;52;4;"piano"
20.7800;21.4400;60;0;"piano"
20.9650;21.2720;76;4;"piano"
21.2720;21.4290;76;4;"piano"
21.3150;21.4400;52;4;"voice"
21.4400;21.9450;52;4;"voice"
21.4400;21.9450;76;4;"piano"
21.4400;22.5850;71;11;"piano"
21.4400;22.6800;52;4;"piano"
21.4400;22.6800;62;2;"piano"
21.9450;22.2410;54;6;"voice"
21.9450;22.2520;78;6;"piano"
22.2520;22.6800;56;8;"voice"
22.2520;22.6630;80;8;"piano"
22.6800;24.2800;57;9;"voice"
22.6800;23.5750;69;9;"piano"
22.6800;23.5750;81;9;"piano"
22.6800;23.5750;57;9;"piano"
22.6800;23.5750;60;0;"piano"
23.5750;23.7200;76;4;"piano"
23.5750;23.7200;64;4;"piano"
23.7200;24.7290;81;9;"piano"
23.7200;24.7290;69;9;"piano"
25.4000;26.8900;60;0;"voice"
25.4000;28.1000;52;4;"piano"
26.0950;26.3000;72;0;"piano"
26.0950;26.3000;60;0;"piano"
26.3000;27.9800;68;8;"piano"
26.3000;27.9800;56;8;"piano"
26.8900;27.3200;56;8;"voice"
27.3200;27.6100;56;8;"voice"
27.6100;28.1000;56;8;"voice"
28.1000;28.4500;57;9;"voice"
28.1000;31.3400;53;5;"piano"
28.4500;28.9290;60;0;"voice"
28.5750;28.9800;72;0;"piano"
28.5750;28.9800;60;0;"piano"
28.9290;28.9800;59;11;"voice"
28.9800;29.5670;57;9;"voice"
28.9800;30.9090;69;9;"piano"
28.9800;30.9090;57;9;"piano"
30.2600;31.3400;57;9;"voice"
31.3400;31.8150;57;9;"voice"
31.8150;32.0400;53;5;"voice"
32.0400;32.8950;50;2;"voice"
32.0400;32.8950;71;11;"piano"
32.0400;32.8950;74;2;"piano"
32.0400;32.8950;83;11;"piano"
32.0400;32.8950;43;7;"piano"
32.0400;32.8950;53;5;"piano"
32.0400;32.8950;55;7;"piano"
32.8950;33.0200;47;11;"voice"
32.8950;33.0200;71;11;"piano"
32.8950;33.0200;74;2;"piano"
32.8950;33.0200;83;11;"piano"
32.8950;33.0200;43;7;"piano"
32.8950;33.0200;53;5;"piano"
32.8950;33.0200;55;7;"piano"
33.0200;33.5550;62;2;"voice"
33.0200;33.5550;71;11;"piano"
33.0200;33.5550;74;2;"piano"
33.0200;33.5550;83;11;"piano"
33.0200;33.5550;43;7;"piano"
33.0200;33.5550;53;5;"piano"
33.0200;33.5550;55;7;"piano"
33.5550;33.9200;59;11;"voice"
33.5550;33.9200;71;11;"piano"
33.5550;33.9200;74;2;"piano"
33.5550;33.9200;83;11;"piano"
33.5550;33.9200;43;7;"piano"
33.5550;33.9200;53;5;"piano"
33.5550;33.9200;55;7;"piano"
33.9200;35.5400;60;0;"voice"
33.9200;35.5400;72;0;"piano"
33.9200;35.5400;76;4;"piano"
33.9200;35.5400;84;0;"piano"
33.9200;35.5400;48;0;"piano"
33.9200;35.5400;52;4;"piano"
33.9200;35.5400;55;7;"piano"
36.1000;36.2650;52;4;"voice"
36.1000;36.5900;64;4;"piano"
