start;end;pitch;pitchclass;instrument
0.9600;1.3400;74;2;"piano"
1.3400;1.8369;74;2;"piano"
1.3400;1.6850;55;7;"piano"
1.3400;1.6850;59;11;"piano"
1.6800;1.9638;62;2;"piano"
1.8300;1.9825;76;4;"piano"
1.9800;2.2581;74;2;"piano"
1.9800;2.4400;67;7;"piano"
2.2581;2.4400;74;2;"piano"
2.4400;3.1294;83;11;"piano"
2.4400;2.8650;55;7;"piano"
2.4400;2.8650;59;11;"piano"
2.8600;3.1850;62;2;"piano"
3.2200;3.5600;83;11;"piano"
3.2200;3.5600;67;7;"piano"
3.5600;4.3919;81;9;"piano"
3.5600;3.9750;52;4;"piano"
3.5600;3.9750;59;11;"piano"
3.9600;4.3637;64;4;"piano"
4.3800;4.7050;79;7;"piano"
4.3800;4.7500;67;7;"piano"
4.7500;5.1300;52;4;"piano"
4.7500;5.1300;59;11;"piano"
5.1100;5.4437;64;4;"piano"
5.4600;5.9000;78;6;"piano"
5.4600;5.9000;59;11;"piano"
5.4600;5.9000;63;3;"piano"
5.4600;5.9000;69;9;"piano"
5.9000;6.0200;76;4;"piano"
5.9000;6.3100;48;0;"piano"
5.9000;6.3100;60;0;"piano"
6.0200;6.0994;78;6;"piano"
6.0994;6.4900;76;4;"piano"
6.2900;6.6638;64;4;"piano"
6.4900;6.6800;75;3;"piano"
6.6800;6.9800;76;4;"piano"
6.6800;6.9800;69;9;"piano"
6.9800;7.1200;78;6;"piano"
6.9800;7.5650;50;2;"piano"
6.9800;7.5650;60;0;"piano"
7.1200;7.1994;79;7;"piano"
7.1994;7.7100;78;6;"piano"
7.5600;7.8438;62;2;"piano"
7.7100;7.8600;76;4;"piano"
7.8600;8.2800;78;6;"piano"
7.8600;8.2800;69;9;"piano"
8.2800;8.9800;79;7;"piano"
8.2800;8.6400;55;7;"piano"
8.2800;8.6400;59;11;"piano"
8.6400;8.9800;62;2;"piano"
8.9800;9.6000;71;11;"piano"
9.6000;10.1300;67;7;"piano"
10.6600;10.9600;50;2;"voice"
10.9600;11.6500;50;2;"voice"
10.9600;11.5050;59;11;"piano"
10.9600;11.5000;55;7;"piano"
11.5000;11.8050;62;2;"piano"
11.6500;11.8000;52;4;"voice"
11.8000;12.2600;50;2;"voice"
11.8000;12.2440;67;7;"piano"
12.2600;13.0000;59;11;"voice"
12.2600;12.6050;59;11;"piano"
12.2600;12.6000;55;7;"piano"
12.6000;13.0050;62;2;"piano"
13.0000;13.3190;59;11;"voice"
