start;end;pitch;pitchclass;instrument
0.3000;0.4525;60;0;"piano"
0.3000;0.4525;48;0;"piano"
0.4500;0.6025;62;2;"piano"
0.4500;0.6025;50;2;"piano"
0.6000;0.7525;59;11;"piano"
0.6000;0.7525;47;11;"piano"
0.7500;0.8706;60;0;"piano"
0.7500;0.8706;48;0;"piano"
0.8800;1.1800;62;2;"piano"
0.8800;1.1800;50;2;"piano"
1.1800;1.4800;67;7;"piano"
1.1800;1.4800;55;7;"piano"
1.4800;1.6325;64;4;"piano"
1.4800;1.6325;52;4;"piano"
1.6300;1.7825;65;5;"piano"
1.6300;1.7825;53;5;"piano"
1.7800;1.9125;62;2;"piano"
1.7800;1.9125;50;2;"piano"
1.9100;2.0106;64;4;"piano"
1.9100;2.0106;52;4;"piano"
2.0200;2.3200;65;5;"piano"
2.0200;2.3200;53;5;"piano"
2.3200;2.6400;72;0;"piano"
2.3200;2.6400;60;0;"piano"
2.6400;2.7925;66;6;"piano"
2.6400;2.7925;54;6;"piano"
2.7900;2.9425;72;0;"piano"
2.7900;2.9425;60;0;"piano"
2.9400;3.0925;67;7;"piano"
2.9400;3.0925;55;7;"piano"
3.0900;3.2425;72;0;"piano"
3.0900;3.2425;60;0;"piano"
3.2400;3.3925;68;8;"piano"
3.2400;3.3925;56;8;"piano"
3.3900;3.5425;72;0;"piano"
3.3900;3.5425;60;0;"piano"
3.5400;3.7325;69;9;"piano"
3.5400;3.7325;57;9;"piano"
3.7300;3.8706;72;0;"piano"
3.7300;3.8706;60;0;"piano"
3.8800;4.1800;69;9;"piano"
3.8800;4.1800;72;0;"piano"
3.8800;4.1800;75;3;"piano"
3.8800;4.1800;78;6;"piano"
3.8800;4.5400;57;9;"piano"
3.8800;4.5400;60;0;"piano"
3.8800;4.5400;63;3;"piano"
3.8800;4.5400;66;6;"piano"
4.9000;5.0187;60;0;"piano"
4.9000;5.0187;48;0;"piano"
5.0187;5.1194;59;11;"piano"
5.0187;5.1194;47;11;"piano"
5.1194;5.2000;58;10;"piano"
5.1194;5.2000;46;10;"piano"
5.2000;5.4838;57;9;"piano"
5.2000;5.4838;45;9;"piano"
5.5000;5.6188;63;3;"piano"
5.5000;5.6188;51;3;"piano"
5.6188;5.7194;60;0;"piano"
5.6188;5.7194;48;0;"piano"
5.7194;5.8131;56;8;"piano"
5.7194;5.8131;44;8;"piano"
5.8200;6.1200;55;7;"piano"
5.8200;6.1200;43;7;"piano"
6.1200;6.4200;74;2;"piano"
6.1200;6.4200;79;7;"piano"
6.1200;6.4200;83;11;"piano"
6.1200;6.4200;43;7;"piano"
6.1200;6.4200;55;7;"piano"
6.4200;7.0600;75;3;"piano"
6.4200;7.0600;79;7;"piano"
6.4200;7.0600;84;0;"piano"
6.4200;7.0600;36;0;"piano"
6.4200;7.0600;48;0;"piano"
7.4000;7.8200;48;0;"voice"
7.4000;7.8200;60;0;"piano"
7.4000;7.8200;48;0;"piano"
7.8200;8.2900;48;0;"voice"
7.8200;8.2969;60;0;"piano"
7.8200;8.2969;48;0;"piano"
8.2900;8.4400;50;2;"voice"
8.2900;8.4425;62;2;"piano"
8.2900;8.4425;50;2;"piano"
8.4400;8.5925;48;0;"voice"
8.4400;8.5925;60;0;"piano"
8.4400;8.5925;48;0;"piano"
8.5900;8.7306;50;2;"voice"
8.5900;8.7425;62;2;"piano"
8.5900;8.7425;50;2;"piano"
8.7400;8.8925;51;3;"voice"
8.7400;8.8925;63;3;"piano"
8.7400;8.8925;51;3;"piano"
8.8900;9.0306;53;5;"voice"
8.8900;9.0306;65;5;"piano"
8.8900;9.0306;53;5;"piano"
9.0400;9.6000;55;7;"voice"
9.0400;9.6119;67;7;"piano"
9.0400;9.6119;55;7;"piano"
9.6000;9.9000;48;0;"voice"
9.6000;9.8837;60;0;"piano"
9.6000;9.8837;48;0;"piano"
9.9000;10.2000;55;7;"voice"
9.9000;10.2000;67;7;"piano"
9.9000;10.2000;55;7;"piano"
10.2000;10.6500;55;7;"voice"
10.2000;10.6500;67;7;"piano"
10.2000;10.6500;55;7;"piano"
10.6500;10.8000;60;0;"voice"
10.6500;10.8000;72;0;"piano"
10.6500;10.8000;60;0;"piano"
10.8000;11.1000;59;11;"voice"
10.8000;11.1000;71;11;"piano"
10.8000;11.1000;59;11;"piano"
11.1000;11.4000;60;0;"voice"
11.1000;11.4000;72;0;"piano"
11.1000;11.4000;60;0;"piano"
11.4000;12.3400;62;2;"voice"
11.4000;12.3400;74;2;"piano"
11.4000;12.3400;62;2;"piano"
12.3400;12.7200;55;7;"voice"
12.3400;12.7200;67;7;"piano"
12.3400;12.7200;55;7;"piano"
12.7200;13.1700;56;8;"voice"
12.7200;13.1770;68;8;"piano"
12.7200;13.1770;56;8;"piano"
13.1700;13.3200;53;5;"voice"
13.1700;13.3220;65;5;"piano"
13.1700;13.3220;53;5;"piano"
13.3200;13.4720;50;2;"voice"
13.3200;13.4720;62;2;"piano"
13.3200;13.4720;50;2;"piano"
13.4700;13.6110;47;11;"voice"
13.4700;13.6220;59;11;"piano"
13.4700;13.6220;47;11;"piano"
13.6200;13.7720;50;2;"voice"
13.6200;13.7720;62;2;"piano"
13.6200;13.7720;50;2;"piano"
13.7700;13.9110;53;5;"voice"
13.7700;13.9110;65;5;"piano"
13.7700;13.9110;53;5;"piano"
13.9200;14.5000;56;8;"voice"
13.9200;14.5120;68;8;"piano"
13.9200;14.5120;56;8;"piano"
14.5000;14.8000;47;11;"voice"
