start;end;pitch;pitchclass;instrument
0.3000;0.7433;65;5;"piano"
0.3000;0.7433;56;8;"piano"
0.7100;1.1217;67;7;"piano"
0.7100;1.1217;58;10;"piano"
1.1467;1.8133;65;5;"piano"
1.1467;1.8133;68;8;"piano"
1.1467;1.8133;53;5;"piano"
1.1467;1.8133;60;0;"piano"
1.8133;2.4800;65;5;"piano"
1.8133;2.4800;68;8;"piano"
1.8133;2.4800;53;5;"piano"
1.8133;2.4800;60;0;"piano"
2.4800;3.1467;65;5;"piano"
2.4800;3.1467;68;8;"piano"
2.4800;3.1467;53;5;"piano"
2.4800;3.1467;60;0;"piano"
3.1467;3.8172;65;5;"piano"
3.1467;3.8172;68;8;"piano"
3.1467;3.8172;53;5;"piano"
3.1467;3.8172;60;0;"piano"
3.8533;5.4267;65;5;"piano"
3.8533;5.4531;68;8;"piano"
3.8533;5.4531;60;0;"piano"
3.8533;6.0275;53;5;"piano"
5.4267;6.0972;65;5;"piano"
5.4267;6.0972;56;8;"piano"
6.1333;6.5544;46;10;"piano"
6.5333;6.9056;48;0;"piano"
6.9000;7.5667;58;10;"piano"
6.9000;7.5667;64;4;"piano"
6.9000;7.5667;67;7;"piano"
6.9000;7.5306;49;1;"piano"
7.5667;8.2444;58;10;"piano"
7.5667;8.2444;64;4;"piano"
7.5667;8.2333;67;7;"piano"
7.5667;8.2333;49;1;"piano"
8.2333;8.9200;59;11;"piano"
8.2333;8.9200;65;5;"piano"
8.2333;8.9200;67;7;"piano"
8.2333;8.9200;49;1;"piano"
8.9200;9.5761;59;11;"piano"
8.9200;9.5761;65;5;"piano"
8.9200;9.5761;67;7;"piano"
8.9200;9.5761;49;1;"piano"
9.8067;13.1460;67;7;"piano"
9.8067;10.4840;65;5;"piano"
9.8067;13.0930;60;0;"piano"
9.8067;13.1460;48;0;"piano"
10.4730;10.8520;64;4;"piano"
10.8470;11.3060;62;2;"piano"
11.3000;13.1200;64;4;"piano"
13.0930;14.3590;60;0;"piano"
13.0930;14.3590;65;5;"piano"
13.0930;14.3590;68;8;"piano"
13.0930;14.3590;53;5;"piano"
15.5130;15.9470;53;5;"voice"
15.5130;15.9520;65;5;"piano"
15.9470;16.3200;55;7;"voice"
15.9470;16.2770;67;7;"piano"
16.3200;16.9670;56;8;"voice"
16.3200;16.9670;65;5;"piano"
16.3200;16.9670;68;8;"piano"
16.9670;17.6530;56;8;"voice"
16.9670;17.6530;65;5;"piano"
16.9670;17.6530;68;8;"piano"
17.6530;18.3200;56;8;"voice"
17.6530;18.3200;65;5;"piano"
17.6530;18.3200;68;8;"piano"
18.3200;19.0670;56;8;"voice"
18.3200;19.0110;65;5;"piano"
18.3200;19.0110;68;8;"piano"
18.3200;18.6860;46;10;"piano"
18.6630;19.0720;48;0;"piano"
19.0670;20.5000;56;8;"voice"
19.0670;21.1670;65;5;"piano"
19.0670;21.1670;68;8;"piano"
19.0670;19.7570;49;1;"piano"
19.7930;20.5000;49;1;"piano"
20.5000;21.1670;53;5;"voice"
20.5000;21.1670;49;1;"piano"
21.1670;21.5000;55;7;"voice"
21.1670;21.5060;67;7;"piano"
21.1670;21.7970;65;5;"piano"
21.1670;21.7970;49;1;"piano"
21.5000;21.8330;56;8;"voice"
21.5000;21.8120;68;8;"piano"
21.8330;22.5200;58;10;"voice"
21.8330;22.5200;65;5;"piano"
21.8330;22.5310;70;10;"piano"
21.8330;23.2130;49;1;"piano"
22.5200;23.1870;56;8;"voice"
22.5200;23.1980;65;5;"piano"
22.5200;23.1980;68;8;"piano"
23.1870;23.8530;55;7;"voice"
23.1870;23.8640;61;1;"piano"
23.1870;23.8640;67;7;"piano"
23.1870;23.8640;46;10;"piano"
23.8530;24.6200;53;5;"voice"
23.8530;24.5240;58;10;"piano"
23.8530;24.5240;65;5;"piano"
23.8530;24.2320;48;0;"piano"
24.2270;24.5670;49;1;"piano"
24.6200;25.9530;55;7;"voice"
24.6200;25.9800;55;7;"piano"
24.6200;25.9530;60;0;"piano"
24.6200;25.9800;64;4;"piano"
24.6200;25.2980;48;0;"piano"
25.2870;25.9640;46;10;"piano"
25.9530;26.2920;56;8;"piano"
25.9530;26.2870;60;0;"piano"
25.9530;26.2920;65;5;"piano"
25.9530;26.2920;44;8;"piano"
26.2870;26.6260;55;7;"piano"
26.2870;26.6200;60;0;"piano"
26.2870;26.6260;64;4;"piano"
26.2870;26.6260;46;10;"piano"
26.6200;26.9590;56;8;"piano"
26.6200;26.9590;60;0;"piano"
26.6200;26.9590;65;5;"piano"
26.6200;26.9590;44;8;"piano"
26.9530;27.3650;58;10;"piano"
26.9530;27.3650;64;4;"piano"
26.9530;27.3650;67;7;"piano"
26.9530;27.3650;43;7;"piano"
27.4070;28.0930;60;0;"piano"
27.4070;28.0930;65;5;"piano"
27.4070;28.0930;68;8;"piano"
27.4070;28.7600;41;5;"piano"
28.0930;28.7600;60;0;"piano"
28.0930;28.7600;65;5;"piano"
28.0930;28.7600;68;8;"piano"
28.7600;29.4670;60;0;"piano"
28.7600;29.4670;65;5;"piano"
28.7600;29.4670;68;8;"piano"
29.4670;29.8000;55;7;"voice"
29.4670;30.1730;60;0;"piano"
29.4670;30.1730;65;5;"piano"
29.4670;30.1730;68;8;"piano"
29.4670;30.1730;41;5;"piano"
29.8000;30.1730;56;8;"voice"
30.1730;30.8800;58;10;"voice"
30.1730;30.8800;58;10;"piano"
30.1730;30.8800;65;5;"piano"
30.1730;30.8800;70;10;"piano"
30.1730;32.2730;49;1;"piano"
30.8800;31.6070;58;10;"voice"
30.8800;31.6070;65;5;"piano"
30.8800;31.6070;70;10;"piano"
31.6070;32.2730;58;10;"voice"
31.6070;32.2730;66;6;"piano"
31.6070;32.2730;70;10;"piano"
32.2730;32.9600;58;10;"voice"
32.2730;32.9600;65;5;"piano"
32.2730;32.9600;70;10;"piano"
32.2730;32.9600;49;1;"piano"
32.9600;34.2930;58;10;"voice"
32.9600;35.0800;64;4;"piano"
32.9600;35.0800;70;10;"piano"
32.9600;33.4920;48;0;"piano"
33.4920;33.6270;48;0;"piano"
33.5340;33.6270;49;1;"piano"
33.5790;33.6270;51;3;"piano"
33.6270;34.1060;49;1;"piano"
34.1270;34.2840;48;0;"piano"
34.2930;35.0800;55;7;"voice"
34.2930;35.0800;48;0;"piano"
35.0800;35.4200;53;5;"voice"
35.0800;35.8470;64;4;"piano"
35.0800;35.8470;67;7;"piano"
35.0800;35.7910;48;0;"piano"
35.4200;35.8470;55;7;"voice"
35.8470;36.5130;56;8;"voice"
35.8470;36.5130;63;3;"piano"
35.8470;36.5130;68;8;"piano"
35.8470;37.8470;47;11;"piano"
36.5130;37.1800;56;8;"voice"
36.5130;37.1910;63;3;"piano"
36.5130;37.1800;68;8;"piano"
37.1800;37.8470;56;8;"voice"
37.1800;37.8580;64;4;"piano"
37.1800;37.8470;68;8;"piano"
37.8470;38.5130;56;8;"voice"
37.8470;38.4370;63;3;"piano"
37.8470;38.4370;68;8;"piano"
37.8470;38.5130;47;11;"piano"
38.5130;39.8730;56;8;"voice"
38.5130;40.5130;62;2;"piano"
38.5130;39.8730;68;8;"piano"
38.5130;39.0080;46;10;"piano"
39.0080;39.1800;46;10;"piano"
39.0550;39.1800;47;11;"piano"
39.0970;39.1800;49;1;"piano"
39.1800;39.6590;47;11;"piano"
39.6800;39.8370;46;10;"piano"
39.8470;40.4770;53;5;"voice"
39.8470;40.4770;65;5;"piano"
39.8470;40.5130;46;10;"piano"
40.5130;41.0830;53;5;"voice"
40.5130;41.5400;58;10;"piano"
40.5130;40.5490;62;2;"piano"
40.5130;41.5400;65;5;"piano"
40.5130;41.5400;46;10;"piano"
41.0830;41.5400;53;5;"voice"
41.5400;42.2470;54;6;"voice"
41.5400;42.2470;58;10;"piano"
41.5400;42.2470;63;3;"piano"
41.5400;42.2470;66;6;"piano"
41.5400;42.2470;39;3;"piano"
42.2470;42.9330;54;6;"voice"
42.2470;42.9330;58;10;"piano"
42.2470;42.9330;63;3;"piano"
42.2470;42.9330;66;6;"piano"
42.2470;42.9330;42;6;"piano"
42.9330;43.2720;53;5;"voice"
42.9330;43.6200;58;10;"piano"
42.9330;43.6200;62;2;"piano"
42.9330;43.6200;65;5;"piano"
42.9330;43.6200;46;10;"piano"
43.2670;43.5990;58;10;"voice"
43.6200;43.9590;58;10;"voice"
43.6200;44.3270;58;10;"piano"
43.6200;44.3270;62;2;"piano"
43.6200;44.3270;65;5;"piano"
43.6200;44.3270;34;10;"piano"
43.9530;44.2970;56;8;"voice"
44.3270;45.6800;54;6;"voice"
44.3270;46.3470;58;10;"piano"
44.3270;45.7060;63;3;"piano"
44.3270;45.7060;66;6;"piano"
44.3270;44.8320;39;3;"piano"
44.8270;44.9930;41;5;"piano"
44.9930;45.4990;42;6;"piano"
45.4930;45.6700;44;8;"piano"
45.6800;46.3470;53;5;"voice"
45.6800;46.3110;62;2;"piano"
45.6800;46.3110;65;5;"piano"
45.6800;46.3470;46;10;"piano"
46.3470;46.6800;53;5;"voice"
46.3470;46.3830;58;10;"piano"
46.3470;47.0730;61;1;"piano"
46.3470;47.0730;65;5;"piano"
46.3470;47.0730;46;10;"piano"
46.6800;47.0730;53;5;"voice"
47.0730;47.5790;53;5;"voice"
47.0730;47.7800;56;8;"piano"
47.0730;47.7800;60;0;"piano"
47.0730;47.7800;65;5;"piano"
47.0730;47.7800;48;0;"piano"
47.5730;47.7700;55;7;"voice"
47.7800;48.2860;56;8;"voice"
47.7800;48.4670;56;8;"piano"
47.7800;48.4670;60;0;"piano"
47.7800;48.4670;65;5;"piano"
47.7800;48.4670;48;0;"piano"
48.2800;48.4570;58;10;"voice"
48.4670;49.5670;60;0;"voice"
48.4670;49.1530;55;7;"piano"
48.4670;49.1530;60;0;"piano"
48.4670;49.1530;65;5;"piano"
48.4670;49.1530;48;0;"piano"
49.1530;49.9200;55;7;"piano"
49.1530;49.9200;60;0;"piano"
49.1530;49.9200;64;4;"piano"
49.1530;49.9200;48;0;"piano"
49.5670;49.9200;52;4;"voice"
49.9200;50.4260;53;5;"voice"
49.9200;50.7070;56;8;"piano"
49.9200;50.7070;60;0;"piano"
49.9200;50.7070;65;5;"piano"
49.9200;50.7070;48;0;"piano"
50.4200;50.6970;55;7;"voice"
50.7070;51.2120;56;8;"voice"
50.7070;51.3730;56;8;"piano"
50.7070;51.3730;60;0;"piano"
50.7070;51.3730;65;5;"piano"
50.7070;51.3730;48;0;"piano"
51.2070;51.3640;58;10;"voice"
51.3730;52.5130;60;0;"voice"
51.3730;52.0400;55;7;"piano"
51.3730;52.0400;60;0;"piano"
51.3730;52.0400;65;5;"piano"
51.3730;52.0400;48;0;"piano"
52.0400;52.8670;55;7;"piano"
52.0400;52.8670;60;0;"piano"
52.0400;52.8670;64;4;"piano"
52.0400;52.8670;48;0;"piano"
52.5130;52.8670;52;4;"voice"
52.8670;54.3000;53;5;"voice"
52.8670;53.5930;56;8;"piano"
52.8670;53.5930;60;0;"piano"
52.8670;53.5930;65;5;"piano"
52.8670;53.4320;41;5;"piano"
53.4270;53.5930;43;7;"piano"
53.5930;54.3000;56;8;"piano"
53.5930;54.3000;60;0;"piano"
53.5930;54.3000;65;5;"piano"
53.5930;54.0990;44;8;"piano"
54.0930;54.2900;46;10;"piano"
54.3000;54.9670;55;7;"piano"
54.3000;54.9670;60;0;"piano"
54.3000;54.9670;65;5;"piano"
54.3000;54.9670;48;0;"piano"
54.9670;55.7530;55;7;"piano"
54.9670;55.7530;60;0;"piano"
54.9670;55.7530;64;4;"piano"
54.9670;55.7530;36;0;"piano"
54.9670;55.7530;48;0;"piano"
55.7530;56.4600;65;5;"piano"
55.7530;57.1270;56;8;"piano"
55.7530;57.1270;60;0;"piano"
55.7530;57.1270;41;5;"piano"
55.7530;57.1270;48;0;"piano"
56.4600;57.1270;65;5;"piano"
57.1270;57.7930;65;5;"piano"
57.7930;58.4240;65;5;"piano"
58.4800;59.2270;65;5;"piano"
59.2270;59.8930;65;5;"piano"
59.8930;60.5240;65;5;"piano"
60.6600;61.1330;53;5;"voice"
60.6600;61.1390;65;5;"piano"
60.6600;61.1390;57;9;"piano"
61.1330;61.6030;55;7;"voice"
61.1330;61.5410;67;7;"piano"
61.1330;61.5410;58;10;"piano"
61.6030;62.2930;57;9;"voice"
61.6030;62.2930;65;5;"piano"
61.6030;62.2930;69;9;"piano"
61.6030;62.2930;53;5;"piano"
61.6030;62.2930;60;0;"piano"
62.2930;62.9600;57;9;"voice"
62.2930;62.9600;65;5;"piano"
62.2930;62.9600;69;9;"piano"
62.2930;62.9600;53;5;"piano"
62.2930;62.9600;60;0;"piano"
62.9600;63.5870;57;9;"voice"
62.9600;63.5870;65;5;"piano"
62.9600;63.5870;69;9;"piano"
62.9600;63.5870;53;5;"piano"
62.9600;63.5870;60;0;"piano"
63.5870;64.2930;57;9;"voice"
63.5870;64.1570;65;5;"piano"
63.5870;64.1570;69;9;"piano"
63.5870;64.1570;53;5;"piano"
63.5870;64.1570;60;0;"piano"
64.2930;65.6870;57;9;"voice"
64.2930;65.6870;65;5;"piano"
64.2930;65.7130;69;9;"piano"
64.2930;65.7130;60;0;"piano"
64.2930;66.2490;53;5;"piano"
65.6870;66.3530;53;5;"voice"
65.6870;66.3170;65;5;"piano"
65.6870;66.3170;57;9;"piano"
66.3530;66.7270;55;7;"voice"
66.3530;66.7320;67;7;"piano"
66.3530;67.7990;65;5;"piano"
66.3530;66.7320;58;10;"piano"
66.3530;67.7990;53;5;"piano"
66.7270;67.2000;57;9;"voice"
66.7270;67.1680;69;9;"piano"
66.7270;67.1680;60;0;"piano"
67.2000;67.8870;58;10;"voice"
67.2000;67.8980;70;10;"piano"
67.2000;67.8980;62;2;"piano"
67.8870;68.5530;57;9;"voice"
67.8870;68.5640;65;5;"piano"
67.8870;68.5640;69;9;"piano"
67.8870;68.5640;53;5;"piano"
67.8870;68.5530;60;0;"piano"
68.5530;69.2200;55;7;"voice"
68.5530;68.5640;60;0;"piano"
68.5530;69.2310;67;7;"piano"
68.5530;69.2310;52;4;"piano"
68.5530;69.2310;58;10;"piano"
69.2200;69.9270;53;5;"voice"
69.2200;69.8910;60;0;"piano"
69.2200;69.8910;65;5;"piano"
69.2200;69.8910;53;5;"piano"
69.2200;69.8910;57;9;"piano"
69.9270;72.0670;55;7;"voice"
69.9270;71.9620;67;7;"piano"
69.9270;70.6440;64;4;"piano"
69.9270;70.6440;48;0;"piano"
69.9270;70.6440;60;0;"piano"
70.6330;71.4110;65;5;"piano"
70.6330;71.4110;50;2;"piano"
70.6330;71.4110;59;11;"piano"
71.4000;72.0310;64;4;"piano"
71.4000;72.0310;48;0;"piano"
71.4000;72.0310;60;0;"piano"
72.0670;72.4000;57;9;"voice"
72.0670;72.4060;65;5;"piano"
72.0670;72.4060;69;9;"piano"
72.0670;73.4800;48;0;"piano"
72.0670;73.4800;60;0;"piano"
72.4000;72.8130;58;10;"voice"
72.4000;72.8190;67;7;"piano"
72.4000;72.8190;70;10;"piano"
72.8130;73.4800;60;0;"voice"
72.8130;73.4910;69;9;"piano"
72.8130;73.4910;72;0;"piano"
73.4800;74.1470;58;10;"voice"
73.4800;74.1470;65;5;"piano"
73.4800;74.1580;70;10;"piano"
73.4800;74.1580;50;2;"piano"
73.4800;74.1580;58;10;"piano"
74.1470;74.8130;57;9;"voice"
74.1470;74.8240;65;5;"piano"
74.1470;74.8240;69;9;"piano"
74.1470;74.8240;53;5;"piano"
74.1470;74.8130;60;0;"piano"
74.8130;75.5400;55;7;"voice"
74.8130;75.5510;64;4;"piano"
74.8130;75.5510;67;7;"piano"
74.8130;75.5040;48;0;"piano"
74.8130;75.5040;60;0;"piano"
75.5400;76.8770;57;9;"voice"
75.5400;76.1710;65;5;"piano"
75.5400;76.1710;69;9;"piano"
75.5400;76.2070;53;5;"piano"
75.5400;76.2070;60;0;"piano"
76.2070;76.8990;65;5;"piano"
76.2070;76.8770;69;9;"piano"
76.2070;76.8770;53;5;"piano"
76.2070;76.8770;60;0;"piano"
76.8770;77.7510;67;7;"piano"
76.8770;77.7510;69;9;"piano"
76.8770;77.7400;52;4;"piano"
76.8770;77.7400;61;1;"piano"
77.7400;78.1130;57;9;"voice"
77.7400;78.4710;64;4;"piano"
77.7400;78.4710;73;1;"piano"
77.7400;78.5070;45;9;"piano"
77.7400;78.5070;55;7;"piano"
78.1130;78.5070;57;9;"voice"
78.5070;79.5070;62;2;"voice"
78.5070;80.5070;62;2;"piano"
78.5070;80.5070;74;2;"piano"
78.5070;80.5070;53;5;"piano"
78.5070;81.5530;46;10;"piano"
79.5070;79.8400;62;2;"voice"
79.8400;80.5070;62;2;"voice"
80.5070;81.5530;62;2;"voice"
80.5070;81.0060;65;5;"piano"
80.5070;81.0060;53;5;"piano"
81.0000;81.5590;67;7;"piano"
81.0000;81.5590;55;7;"piano"
81.5530;82.9270;61;1;"voice"
81.5530;82.2040;69;9;"piano"
81.5530;82.2040;57;9;"piano"
81.5530;82.8390;45;9;"piano"
82.2400;82.9270;69;9;"piano"
82.2400;82.9270;57;9;"piano"
82.9270;83.6530;57;9;"voice"
82.9270;83.6530;69;9;"piano"
82.9270;83.6530;57;9;"piano"
83.6530;84.0670;58;10;"voice"
83.6530;84.0720;70;10;"piano"
83.6530;84.0720;58;10;"piano"
84.0670;84.5200;57;9;"voice"
84.0670;84.4340;69;9;"piano"
84.0670;84.4340;57;9;"piano"
84.5200;85.2670;62;2;"voice"
84.5200;86.7000;62;2;"piano"
84.5200;86.7000;74;2;"piano"
84.5200;86.7000;53;5;"piano"
84.5200;87.4070;46;10;"piano"
85.2670;85.9330;62;2;"voice"
85.9330;86.7000;62;2;"voice"
86.7000;87.4070;62;2;"voice"
86.7000;87.0790;65;5;"piano"
86.7000;87.0790;53;5;"piano"
87.0730;87.4120;67;7;"piano"
87.0730;87.4120;55;7;"piano"
87.4070;88.0730;61;1;"voice"
87.4070;88.0370;69;9;"piano"
87.4070;88.0370;57;9;"piano"
87.4070;88.0370;45;9;"piano"
88.0730;89.0000;57;9;"voice"
88.0730;89.0110;69;9;"piano"
88.0730;89.0110;57;9;"piano"
89.0000;90.1600;58;10;"voice"
89.0000;90.1810;70;10;"piano"
89.0000;90.1810;58;10;"piano"
90.1600;90.5330;57;9;"voice"
90.1600;90.5120;69;9;"piano"
90.1600;90.5120;57;9;"piano"
90.5330;91.2600;55;7;"voice"
90.5330;91.2710;67;7;"piano"
90.5330;91.2710;55;7;"piano"
91.2600;91.9270;53;5;"voice"
91.2600;91.9770;65;5;"piano"
91.2600;91.9770;53;5;"piano"
91.9270;92.6930;52;4;"voice"
91.9270;92.7040;64;4;"piano"
91.9270;92.7040;52;4;"piano"
92.6930;93.5200;56;8;"voice"
92.6930;93.4640;68;8;"piano"
92.6930;93.4640;56;8;"piano"
93.5200;94.9130;57;9;"voice"
93.5200;94.3070;69;9;"piano"
93.5200;94.9130;57;9;"piano"
94.3070;94.9130;69;9;"piano"
94.9130;95.5800;69;9;"piano"
95.5800;96.2130;69;9;"piano"
96.3270;98.8590;69;9;"piano"
