start;end;pitch;pitchclass;instrument
0.7600;2.4398;55;7;"piano"
0.7600;2.4200;58;10;"piano"
0.7600;2.4398;67;7;"piano"
0.7600;2.4200;39;3;"piano"
0.7600;2.4200;46;10;"piano"
2.4200;3.2483;53;5;"piano"
2.4200;3.2400;58;10;"piano"
2.4200;3.2483;65;5;"piano"
2.4200;3.2400;39;3;"piano"
2.4200;3.2483;44;8;"piano"
2.4200;3.2400;46;10;"piano"
3.2400;3.9021;51;3;"piano"
3.2400;3.9021;58;10;"piano"
3.2400;3.9021;63;3;"piano"
3.2400;3.9021;39;3;"piano"
3.2400;3.9021;43;7;"piano"
3.2400;3.9021;46;10;"piano"
4.1000;5.9198;55;7;"piano"
4.1000;5.9000;58;10;"piano"
4.1000;5.9198;67;7;"piano"
4.1000;5.9000;39;3;"piano"
4.1000;5.9000;46;10;"piano"
5.9000;6.7083;53;5;"piano"
5.9000;6.7000;58;10;"piano"
5.9000;6.7083;65;5;"piano"
5.9000;6.7000;39;3;"piano"
5.9000;6.7083;44;8;"piano"
5.9000;6.7000;46;10;"piano"
6.7000;7.2938;51;3;"piano"
6.7000;7.2938;58;10;"piano"
6.7000;7.2938;63;3;"piano"
6.7000;7.2938;39;3;"piano"
6.7000;7.2938;43;7;"piano"
6.7000;7.2938;46;10;"piano"
7.5600;9.1998;50;2;"piano"
7.5600;9.1800;58;10;"piano"
7.5600;9.1998;62;2;"piano"
7.5600;9.1800;34;10;"piano"
7.5600;9.1998;41;5;"piano"
7.5600;9.1800;46;10;"piano"
9.1800;9.9883;51;3;"piano"
9.1800;9.9800;58;10;"piano"
9.1800;9.9800;63;3;"piano"
9.1800;9.9800;34;10;"piano"
9.1800;9.9883;43;7;"piano"
9.1800;9.9800;46;10;"piano"
9.9800;10.5600;55;7;"piano"
9.9800;10.5600;58;10;"piano"
9.9800;10.5600;63;3;"piano"
9.9800;10.5600;67;7;"piano"
9.9800;10.5600;34;10;"piano"
9.9800;10.5600;39;3;"piano"
9.9800;10.5600;46;10;"piano"
10.9800;13.1600;55;7;"piano"
