start;end;pitch;pitchclass;instrument
2.0400;3.4400;50;2;"piano"
3.4400;4.3529;55;7;"piano"
3.4400;4.3529;59;11;"piano"
3.4400;4.5490;50;2;"piano"
3.4400;4.3529;43;7;"piano"
4.3300;4.8144;54;6;"piano"
4.3300;4.8144;57;9;"piano"
4.3300;4.8144;38;2;"piano"
4.9200;6.7671;50;2;"piano"
4.9200;6.7671;54;6;"piano"
4.9200;6.7671;57;9;"piano"
4.9200;6.7671;38;2;"piano"
6.7400;7.3225;53;5;"piano"
6.7400;7.3225;55;7;"piano"
6.7400;7.3225;59;11;"piano"
6.7400;7.3225;43;7;"piano"
7.6400;8.7415;52;4;"piano"
7.6400;8.7300;55;7;"piano"
7.6400;8.7415;60;0;"piano"
7.6400;8.7415;36;0;"piano"
8.7300;9.2088;50;2;"piano"
8.7300;9.2088;55;7;"piano"
8.7300;9.2088;59;11;"piano"
8.7300;9.2088;43;7;"piano"
9.3200;11.5000;50;2;"piano"
9.3200;11.5000;55;7;"piano"
9.3200;11.5000;59;11;"piano"
9.3200;11.5000;43;7;"piano"
11.5000;12.4200;50;2;"piano"
11.5000;12.4200;55;7;"piano"
11.5000;12.4200;59;11;"piano"
11.5000;12.4200;43;7;"piano"
12.4200;13.1810;59;11;"piano"
12.4200;14.1000;50;2;"piano"
12.4200;14.1200;54;6;"piano"
12.4200;14.1400;38;2;"piano"
12.4200;14.1400;48;0;"piano"
13.1700;14.1000;57;9;"piano"
14.1000;14.1040;57;9;"piano"
14.1000;15.6420;50;2;"piano"
14.1000;15.5680;43;7;"piano"
14.1000;15.5680;47;11;"piano"
14.3500;14.6000;55;7;"piano"
14.6000;14.8500;54;6;"piano"
14.8500;15.1600;55;7;"piano"
15.7200;16.7180;57;9;"piano"
15.7200;17.0520;50;2;"piano"
15.7200;17.0520;55;7;"piano"
15.7200;17.6600;43;7;"piano"
16.7100;17.4530;59;11;"piano"
17.6600;18.9020;59;11;"piano"
17.6600;19.6600;50;2;"piano"
17.6600;19.6800;54;6;"piano"
17.6600;19.7000;38;2;"piano"
17.6600;19.7000;48;0;"piano"
18.8100;19.6640;57;9;"piano"
19.6600;21.8620;55;7;"piano"
19.6600;21.8620;50;2;"piano"
19.6600;21.7110;43;7;"piano"
19.6600;21.7110;47;11;"piano"
21.9800;23.4600;59;11;"voice"
21.9800;23.4600;50;2;"piano"
21.9800;23.4600;55;7;"piano"
21.9800;23.4600;59;11;"piano"
21.9800;23.4600;43;7;"piano"
23.4600;24.2500;59;11;"voice"
23.4600;24.2610;55;7;"piano"
23.4600;24.2610;59;11;"piano"
