start;end;shorthand;extended;majmin;majmin_inv
0.36;1.68;"D:min";"D:(b3,5)";"D:min";"D:min"
1.68;3.78;"A:7/E";"A:(3,5,b7)/E";"A:maj";"A:maj/E"
3.78;5;"D:min";"D:(b3,5)";"D:min";"D:min"
5;7.14;"A:7/E";"A:(3,5,b7)/E";"A:maj";"A:maj/E"
7.14;9.64;"D:min";"D:(b3,5)";"D:min";"D:min"
9.64;10.96;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
10.96;14.18;"D:min";"D:(b3,5)";"D:min";"D:min"
14.18;22.58;"D:min";"D:(b3,5)";"D:min";"D:min"
22.58;26.78;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
26.78;30.18;"D:min";"D:(b3,5)";"D:min";"D:min"
30.18;39;"D:min";"D:(b3,5)";"D:min";"D:min"
39;41.84;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
41.84;43.46;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
43.46;48.16;"D:(3,5,b7,b9)/F#";"D:(3,5,b7,b9)/F#";"D:maj";"D:maj/F#"
48.16;50.34;"G:min";"G:(b3,5)";"G:min";"G:min"
50.34;52.24;"D:maj/A";"D:(3,5)/A";"D:maj";"D:maj/A"
52.24;54.5;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
54.5;59.44;"D:min";"D:(b3,5)";"D:min";"D:min"
59.44;61.64;"A:7/E";"A:(3,5,b7)/E";"A:maj";"A:maj/E"
61.64;62.9;"D:min";"D:(b3,5)";"D:min";"D:min"
62.9;65;"A:7/E";"A:(3,5,b7)/E";"A:maj";"A:maj/E"
65;66.1;"D:min";"D:(b3,5)";"D:min";"D:min"
66.1;67.3;"F:maj/C";"F:(3,5)/C";"F:maj";"F:maj/C"
67.3;69.22;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
69.22;72.3;"F:maj";"F:(3,5)";"F:maj";"F:maj"
72.3;76.5;"A:(3,5,b7,b9)/C#";"A:(3,5,b7,b9)/C#";"A:maj";"A:maj/C#"
76.5;80.82;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
80.82;85.12;"F:maj/C";"F:(3,5)/C";"F:maj";"F:maj/C"
85.12;87.92;"C:maj";"C:(3,5)";"C:maj";"C:maj"
87.92;91.64;"A:(3,5,b7,b9)/C#";"A:(3,5,b7,b9)/C#";"A:maj";"A:maj/C#"
91.64;95.8;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
95.8;99.14;"F:maj/C";"F:(3,5)/C";"F:maj";"F:maj/C"
99.14;100.76;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
100.76;103.94;"F:maj";"F:(3,5)";"F:maj";"F:maj"
103.94;107;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
107;108.9;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
108.9;113.98;"D:min";"D:(b3,5)";"D:min";"D:min"
113.98;116.32;"A:7/E";"A:(3,5,b7)/E";"A:maj";"A:maj/E"
116.32;117.78;"D:min";"D:(b3,5)";"D:min";"D:min"
117.78;120.32;"A:7/E";"A:(3,5,b7)/E";"A:maj";"A:maj/E"
120.32;122.9;"D:min";"D:(b3,5)";"D:min";"D:min"
122.9;124.94;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
124.94;127.8;"D:min";"D:(b3,5)";"D:min";"D:min"
127.8;136.74;"D:min";"D:(b3,5)";"D:min";"D:min"
136.74;141.2;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
141.2;144.26;"D:min";"D:(b3,5)";"D:min";"D:min"
144.26;153.72;"D:min";"D:(b3,5)";"D:min";"D:min"
153.72;156.64;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
156.64;158.6;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
158.6;164.3;"D:(3,5,b7,b9)/F#";"D:(3,5,b7,b9)/F#";"D:maj";"D:maj/F#"
164.3;166.34;"G:min";"G:(b3,5)";"G:min";"G:min"
166.34;168.3;"D:maj/A";"D:(3,5)/A";"D:maj";"D:maj/A"
168.3;170.66;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
170.66;174.9;"D:min";"D:(b3,5)";"D:min";"D:min"
174.9;177.08;"A:7/E";"A:(3,5,b7)/E";"A:maj";"A:maj/E"
177.08;178.5;"D:min";"D:(b3,5)";"D:min";"D:min"
178.5;180.64;"A:7/E";"A:(3,5,b7)/E";"A:maj";"A:maj/E"
180.64;181.86;"D:min";"D:(b3,5)";"D:min";"D:min"
181.86;183.2;"F:maj/C";"F:(3,5)/C";"F:maj";"F:maj/C"
183.2;185.08;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
185.08;188.16;"F:maj";"F:(3,5)";"F:maj";"F:maj"
188.16;192.18;"A:(3,5,b7,b9)/C#";"A:(3,5,b7,b9)/C#";"A:maj";"A:maj/C#"
192.18;196.24;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
196.24;201.32;"F:maj/C";"F:(3,5)/C";"F:maj";"F:maj/C"
201.32;204.7;"C:maj";"C:(3,5)";"C:maj";"C:maj"
204.7;209.16;"A:(3,5,b7,b9)/C#";"A:(3,5,b7,b9)/C#";"A:maj";"A:maj/C#"
209.16;215.06;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
215.06;219.02;"F:maj/C";"F:(3,5)/C";"F:maj";"F:maj/C"
219.02;221.62;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
221.62;224.98;"F:maj";"F:(3,5)";"F:maj";"F:maj"
224.98;229.52;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
229.52;232.42;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
232.42;238;"D:min";"D:(b3,5)";"D:min";"D:min"
238;240.78;"A:7/E";"A:(3,5,b7)/E";"A:maj";"A:maj/E"
240.78;242.32;"D:min";"D:(b3,5)";"D:min";"D:min"
242.32;245.26;"A:7/E";"A:(3,5,b7)/E";"A:maj";"A:maj/E"
245.26;248.48;"D:min";"D:(b3,5)";"D:min";"D:min"
248.48;250.3;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
250.3;253.92;"D:min";"D:(b3,5)";"D:min";"D:min"
